USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     11502  0.0  0.0      0     0 ?        S    06:04   0:01 [kworker/0:1]
root     11882  0.0  0.0      0     0 ?        S<   May22   0:00 [kworker/0:1H]
root     11910  0.0  0.0      0     0 ?        S    06:25   0:00 [kworker/4:1]
root     11950  0.0  0.0      0     0 ?        S    06:25   0:00 [kworker/0:2]
root     11977  0.0  0.0      0     0 ?        S    06:25   0:00 [kworker/3:0]
root     11984  0.0  0.0      0     0 ?        S    06:25   0:00 [kworker/6:2]
root     12333  0.0  0.0      0     0 ?        S<   May14   0:00 [kworker/6:1H]
root     12769  0.0  0.0      0     0 ?        S    10:11   0:00 [kworker/6:1]
root     12887  0.0  0.0 106140  7264 ?        Ss   10:48   0:00 sshd: tdsouza [priv]
root     12890  0.0  0.0      0     0 ?        S<   10:48   0:00 [kworker/6:2H]
root     12891  0.0  0.0      0     0 ?        S<   10:48   0:00 [kworker/4:1H]
tdsouza  12892  0.0  0.0  37092  4940 ?        Ss   10:48   0:00 /lib/systemd/systemd --user
root     12896  0.0  0.0      0     0 ?        S    10:48   0:00 [kworker/5:1]
tdsouza  12899  0.0  0.0  70540  2084 ?        S    10:48   0:00 (sd-pam)
tdsouza  12973  0.0  0.0 106140  3520 ?        S    10:48   0:00 sshd: tdsouza@pts/4
tdsouza  12974  0.0  0.0  14484  4928 pts/4    Ss   10:48   0:00 -bash
tdsouza  12988  0.0  0.0  39216  6260 pts/4    S+   10:48   0:00 ssh root@ldap
root     13371  0.0  0.0      0     0 ?        S    11:27   0:00 [kworker/1:2]
root     13504  0.0  0.0      0     0 ?        S    12:01   0:00 [kworker/2:0]
nphinney 13516  0.0  0.0  37184  2412 ?        Ss   Apr09   0:03 /lib/systemd/systemd --user
nphinney 13523  0.0  0.0  70448     4 ?        S    Apr09   0:00 (sd-pam)
root     13693  0.0  0.0 106140  7156 ?        Ss   13:01   0:00 sshd: jgorski [priv]
jgorski  13699  0.0  0.0  37092  4868 ?        Ss   13:02   0:00 /lib/systemd/systemd --user
root     13702  0.0  0.0      0     0 ?        S    13:02   0:00 [kworker/1:0]
